mz	time	VT_120305_122	VT_120229_074	VT_120302_068	VT_120307_026	VT_120218_092	VT_120218_020	VT_120305_074	VT_120229_020	VT_120305_086	VT_120306_032	VT_120306_110	VT_120307_098	VT_120222_116	VT_120217_020	VT_120229_122	VT_120302_020	VT_120301_020	VT_120217_110	VT_120229_128	VT_120301_056	VT_120306_020	VT_120306_086	VT_120218_104	VT_120229_068	VT_120218_014	VT_120218_044	VT_120218_110	VT_120218_122	VT_120302_098	VT_120305_080	VT_120217_068	VT_120306_014	VT_120305_026	VT_120305_032	VT_120217_014	VT_120217_104	VT_120302_044	VT_120222_080	VT_120222_098	VT_120218_098	VT_120306_026	VT_120217_026	VT_120222_008	VT_120217_044	VT_120306_008	VT_120301_050	VT_120307_056	VT_120217_086	VT_120305_008	VT_120229_044
328.0095269	266	122191	43992	114118	100869	52420	86090	73417	76633	 	30697	52331	100608	77649	62731	92575	34959	54807	40659	16068	80034	28054	39498	52376	94959	37734	59699	48700	67955	38859	85553	28549	30381	36695	41946	133288	32295	76750	67262	76798	54818	56297	38629	16666	60438	52593	81173	38073	78754	45115	105229
328.0467301	47	94663	138740	59964	46575	110714	105804	184913	93014	90544	70054	98358	57288	159092	95722	107868	89483	87386	57821	188039	98395	85729	72030	106128	71952	120386	79089	70294	96275	68785	104449	81398	217715	67465	94360	137528	99051	82619	101422	68841	103374	97288	23621	 	98690	93307	123116	87165	93215	93989	64830
328.0794313	161	62890	22281	35867	13171	91519	28645	58911	73380	67362	29745	15152	134244	25909	113426	96699	37728	50535	12626	32702	33930	56056	30286	119567	21384	63274	123913	22766	74181	53527	38662	79715	70378	9500	79696	1284	61519	46755	60656	35023	60168	37721	58186	 	78938	45770	50804	31710	58833	70575	64240
328.1965768	163	 	24422	70878	26157	44740	73661	34878	90054	34095	54507	28641	89703	68532	28576	12848	 	72087	52856	92510	112559	39368	68654	41083	81623	80802	41142	21194	38864	37942	77313	66191	55513	 	56106	26081	14424	35525	27454	30002	51196	30616	55490	 	20054	113195	27692	57372	65724	55136	40036
328.2281599	293	29614	9817	 	 	 	 	 	44099	47602	 	89089	41920	25400	 	58137	76641	17867	18618	12558	 	25712	13995	 	 	 	6982	25254	43845	50647	9924	30374	33724	822	 	37154	 	 	33217	 	 	 	21607	 	17411	 	59583	19377	24799	32979	 
328.2459402	304	274903	53179	364218	247549	 	476476	476417	86278	 	82597	633130	136614	335925	27851	52983	 	20223	56264	157758	529831	94440	352727	335180	717555	423547	 	230191	539128	191136	 	137725	146679	 	840318	22527	724933	572183	488965	284362	120096	154442	145492	 	173603	70488	71433	 	380976	 	756237
328.3186234	566	70816	20755	214731	197216	134366	116978	136767	212868	135901	87566	128390	147089	150988	133147	49276	106882	69714	14320	21881	71505	12561	150264	149171	72229	136918	161074	107250	 	39091	111907	99360	4514	167941	179407	133302	58797	200347	102612	125284	145185	123416	189839	62890	88450	68839	72934	99422	78106	164549	135771
328.6169728	400	84256	35427	114407	182245	64674	145248	94711	33913	103281	61383	40504	162487	149884	22697	75235	23801	158539	165274	26128	98531	126244	471219	936	204043	147274	191710	7038	 	80890	149283	137016	103381	45862	107852	61537	224851	79631	102237	163591	 	 	75944	 	211970	76455	251277	31752	118939	26005	216131
328.6629581	361	 	135787	159791	68237	32557	160684	 	25359	 	186230	87550	115058	35254	122927	117787	55905	82391	42868	33037	43229	 	75891	27736	95357	46622	110518	83475	47849	125791	 	70193	 	 	66406	111070	76461	50508	125894	67470	41351	 	101622	 	42723	51236	70939	112572	31207	 	1883
328.7540409	57	377795	170525	254289	265726	283843	230128	138911	266312	302350	170974	196412	76642	172759	215966	264907	222066	200310	156715	154515	182266	327507	98736	295466	253243	256323	194929	225998	291340	217097	278853	189129	239176	124118	156710	413556	219356	121449	171847	328940	217064	328833	103601	 	196210	305206	150906	162510	271888	200913	316375
328.8827546	50	387083	173619	310981	378337	149126	130833	352004	224497	294574	341830	475681	535973	285453	228389	240382	249809	275291	333202	169579	239862	146891	516691	271212	240012	270843	326965	399889	224295	360472	245258	232128	215308	334776	269819	321524	419804	316389	303489	446038	203900	213882	450851	 	383510	248406	218960	254744	243489	239385	340714
328.9133137	343	66961	23494	58797	64423	57413	28174	21543	32849	 	44377	65026	72004	44825	66404	35696	51098	29895	54349	58185	35304	69025	55268	79055	51810	26355	56221	52989	45004	43907	35457	19982	35847	43232	51264	41676	75217	40544	32208	32795	79778	39370	43583	207012	30515	23187	44278	30062	57234	59035	131382
329.16987	560	63871	41351	60773	27662	47006	26322	33219	23262	58017	57056	110678	93920	46318	44538	68509	63925	94431	83546	70039	43806	32316	84162	56247	78773	46993	56715	39463	43313	91468	61187	75616	26332	64963	70843	71757	31662	48013	35582	36033	83997	43700	46667	77011	82638	35444	46108	59332	70190	88590	94859
