"KEGGID","Statistic"
"C17601",0.236864877705195
"C02648",0.236864877705195
"C06144",0.236864877705195
"C17602",0.236864877705195
"C02659",0.0338327702918134
"C01746",0.231917765420255
"C00741",0.0376566752515878
"C19443",0.0376566752515878
"C16267",0.0376566752515878
"C16835",0.0376566752515878
"C02497",0.0376566752515878
"C01771",0.0376566752515878
"C19201",0.0376566752515878
"C19309",0.0376566752515878
"C01770",0.0376566752515878
"C19201",0.852021352457563
"C19309",0.852021352457563
"C01771",0.852021352457563
"C16267",0.852021352457563
"C02497",0.852021352457563
"C16835",0.852021352457563
"C00741",0.852021352457563
"C19443",0.852021352457563
"C01770",0.852021352457563
"C19282",0.145784221613924
"C02218",0.962191389562363
"C06695",0.962191389562363
"C20253",0.962191389562363
"C20315",0.321107675763882
"C19332",0.321107675763882
"C14452",0.321107675763882
"C03219",0.321107675763882
"C20339",0.321107675763882
"C00555",0.321107675763882
"C02640",0.431506958144968
"C02640",0.961604634045782
"C00466",0.589607786740754
"C00246",0.589607786740754
"C00810",0.589607786740754
"C02632",0.589607786740754
"C01769",0.589607786740754
"C14440",0.589607786740754
"C00849",0.589607786740754
"C14440",0.483685008814465
"C00810",0.483685008814465
"C01769",0.483685008814465
"C00849",0.483685008814465
"C00246",0.483685008814465
"C00466",0.483685008814465
"C02632",0.483685008814465
"C16364",0.50559772255093
"C19779",0.50559772255093
"C19281",0.50559772255093
"C19281",0.20894797167942
"C19779",0.20894797167942
"C16364",0.20894797167942
"C19227",0.285959225822437
"C00134",0.285959225822437
"C00134",0.227317578207695
"C19227",0.227317578207695
"C11488",0.000789102131863576
"C01537",0.000789102131863576
"C00213",0.000789102131863576
"C00099",0.000789102131863576
"C01401",0.000789102131863576
"C02116",0.000789102131863576
"C00133",0.000789102131863576
"C00041",0.000789102131863576
"C01455",0.173686757677751
"C00292",0.467192797887389
"C14447",0.467192797887389
"C15584",0.882981169181174
"C01782",0.882981169181174
"C00146",0.882981169181174
"C02502",0.434851652925055
"C07090",0.408788252473548
"C14279",0.408788252473548
"C02395",0.932060671786363
"C19249",0.932060671786363
"C02395",0.666144921917241
"C19249",0.666144921917241
"C12554",0.651164735526808
"C20578",0.995451056790584
"C20441",0.995451056790584
"C20578",0.982882163688038
"C20441",0.982882163688038
"C00414",0.585329474561893
"C08497",0.585329474561893
"C16310",0.585329474561893
"C16310",0.967441922524821
"C08497",0.967441922524821
"C00414",0.967441922524821
"C07273",0.121043127019656
"C11103",0.121043127019656
"C11118",0.347953642391202
"C18796",0.347953642391202
"C00571",0.638035217824044
"C08267",0.936075158203651
"C19777",0.936075158203651
"C07509",0.936075158203651
"C17234",0.936075158203651
"C01234",0.936075158203651
"C19456",0.936075158203651
"C11106",0.936075158203651
"C02926",0.936075158203651
"C11106",0.966758065293111
"C19777",0.966758065293111
"C07509",0.966758065293111
"C19456",0.966758065293111
"C02926",0.966758065293111
"C08267",0.966758065293111
"C01234",0.966758065293111
"C17234",0.966758065293111
"C08306",0.929322346822128
"C14691",0.929322346822128
"C00109",0.225456074852564
"C00164",0.225456074852564
"C00232",0.225456074852564
"C00349",0.225456074852564
"C06002",0.225456074852564
"C06002",0.225456074852564
"C00349",0.225456074852564
"C00232",0.225456074852564
"C00164",0.225456074852564
"C00109",0.225456074852564
"C00109",0.216612894130614
"C00164",0.216612894130614
"C00232",0.216612894130614
"C00349",0.216612894130614
"C06002",0.216612894130614
"C06002",0.216612894130614
"C00349",0.216612894130614
"C00232",0.216612894130614
"C00164",0.216612894130614
"C00109",0.216612894130614
"C06682",0.765602172514796
"C02718",0.765602172514796
"C08057",0.765602172514796
"C02723",0.863246256722815
"C01672",0.863246256722815
"C11109",0.48009231124535
"C19514",0.48009231124535
"C02261",0.48009231124535
"C02356",0.48009231124535
"C01205",0.48009231124535
"C11735",0.48009231124535
"C03665",0.48009231124535
"C00334",0.48009231124535
"C02721",0.48009231124535
"C03284",0.48009231124535
"C05145",0.48009231124535
"C01026",0.48009231124535
"C07083",0.434525649933776
"C07083",0.61525441517579
"C00716",0.222089101987833
"C00065",0.222089101987833
"C00740",0.222089101987833
"C03354",0.116893783861045
"C03354",0.93848519593955
"C06772",0.282850692831657
"C11260",0.282850692831657
"C00193",0.149906138510454
"C00261",0.149906138510454
"C14689",0.816626163993378
"C14689",0.820117943002379
"C07208",0.381762473818078
"C07212",0.381762473818078
"C19551",0.381762473818078
"C07111",0.381762473818078
"C06756",0.381762473818078
"C07208",0.406582271110633
"C06756",0.406582271110633
"C19551",0.406582271110633
"C07212",0.406582271110633
"C07111",0.406582271110633
"C17500",0.995032566119134
"C07327",0.995032566119134
"C06876",0.995032566119134
"C06876",0.562253806736531
"C17500",0.562253806736531
"C07327",0.562253806736531
"C15562",0.909201457888513
"C02299",0.909201457888513
"C14403",0.909201457888513
"C03485",0.194451384850377
"C01542",0.194451384850377
"C01468",0.194451384850377
"C01403",0.194451384850377
"C00556",0.194451384850377
"C01467",0.194451384850377
"C19499",0.713845990470238
"C14402",0.713845990470238
"C02454",0.713845990470238
"C02304",0.713845990470238
"C17926",0.713845990470238
"C19310",0.441034438970216
"C19310",0.360301405914959
"C00519",0.533491316132643
"C05058",0.391299647908727
"C02720",0.391299647908727
"C02372",0.391299647908727
"C01987",0.391299647908727
"C05058",0.584529424556888
"C02720",0.584529424556888
"C01987",0.584529424556888
"C02372",0.584529424556888
"C10133",0.43703654568932
"C00090",0.228201759023595
"C01751",0.228201759023595
"C11115",0.228201759023595
"C15571",0.228201759023595
"C01751",0.228201759023595
"C00530",0.228201759023595
"C15571",0.228201759023595
"C00090",0.228201759023595
"C01785",0.228201759023595
"C00530",0.228201759023595
"C11115",0.228201759023595
"C01785",0.228201759023595
"C00090",0.917405733944009
"C01751",0.917405733944009
"C11115",0.917405733944009
"C15571",0.917405733944009
"C01751",0.917405733944009
"C00530",0.917405733944009
"C15571",0.917405733944009
"C00090",0.917405733944009
"C01785",0.917405733944009
"C00530",0.917405733944009
"C11115",0.917405733944009
"C01785",0.917405733944009
"C05130",0.714019569285758
"C02560",0.714019569285758
"C02560",0.422464260450777
"C05130",0.422464260450777
"C03056",0.60214227336682
"C02932",0.60214227336682
"C03927",0.60214227336682
"C05942",0.60214227336682
"C01059",0.60214227336682
"C00380",0.950796346369245
"C19548",0.737612120560691
"C19548",0.792993195542453
"C00388",0.493380115342888
"C00388",0.300011956634505
"C14859",0.662692137756513
"C14858",0.662692137756513
"C14857",0.662692137756513
"C01546",0.384498201219904
"C01546",0.629083875729629
"C18474",0.436712155677561
"C00106",0.436712155677561
"C08502",0.949314624075869
"C04221",0.949314624075869
"C06105",0.949314624075869
"C08063",0.949314624075869
"C01066",0.949314624075869
"C04091",0.949314624075869
"C03564",0.63574868018613
"C04322",0.63574868018613
"C07275",0.63574868018613
"C03912",0.63574868018613
"C06593",0.476784875576174
"C07091",0.0523337851977208
"C00596",0.0523337851977208
"C02777",0.162570024184591
"C00429",0.162570024184591
"C08311",0.162570024184591
"C02512",0.162570024184591
"C02565",0.162570024184591
"C08311",0.0661528258406823
"C00429",0.0661528258406823
"C02565",0.0661528258406823
"C02777",0.0661528258406823
"C02512",0.0661528258406823
"C03228",0.467354475570497
"C01880",0.467354475570497
"C01147",0.467354475570497
"C19781",0.803447916542997
"C19284",0.803447916542997
"C01596",0.0490186830896632
"C16435",0.0137346915463377
"C00763",0.0137346915463377
"C18170",0.0137346915463377
"C00148",0.0137346915463377
"C02233",0.136880008341232
"C00141",0.136880008341232
"C03273",0.136880008341232
"C06255",0.136880008341232
"C19283",0.945843138421722
"C16622",0.945843138421722
"C19484",0.945843138421722
"C12304",0.571573544452806
"C12313",0.571573544452806
"C01585",0.571573544452806
"C12293",0.571573544452806
"C02948",0.571573544452806
"C03739",0.571573544452806
"C00990",0.226963524696275
"C00441",0.883457129453838
"C03508",0.883457129453838
"C03214",0.883457129453838
"C20250",0.883457129453838
"C01826",0.576976450544167
"C16436",0.576976450544167
"C00183",0.576976450544167
"C15987",0.576976450544167
"C03571",0.576976450544167
"C00431",0.576976450544167
"C01799",0.576976450544167
"C00719",0.576976450544167
"C06417",0.576976450544167
"C07457",0.576976450544167
"C14512",0.315866862248646
"C03678",0.336020467930163
"C00263",0.336020467930163
"C12317",0.336020467930163
"C11108",0.336020467930163
"C00188",0.336020467930163
"C00820",0.336020467930163
"C05519",0.336020467930163
"C02115",0.336020467930163
"C06758",0.756262698573467
"C02083",0.756262698573467
"C20782",0.756262698573467
"C05627",0.756262698573467
"C07113",0.756262698573467
"C00601",0.756262698573467
"C07209",0.756262698573467
"C07214",0.756262698573467
"C14508",0.56352715884222
"C14396",0.56352715884222
"C14522",0.56352715884222
"C14518",0.56352715884222
"C14533",0.56352715884222
"C14572",0.56352715884222
"C00097",0.0498807959244555
"C00736",0.0498807959244555
"C00793",0.0498807959244555
"C09815",0.241814663654054
"C09815",0.527800732617014
"C07182",0.325523804339048
"C00180",0.609718132502262
"C00633",0.609718132502262
"C03067",0.609718132502262
"C15474",0.609718132502262
"C00539",0.609718132502262
"C06202",0.609718132502262
"C03067",0.43938350381525
"C00633",0.43938350381525
"C06202",0.43938350381525
"C00180",0.43938350381525
"C15474",0.43938350381525
"C00539",0.43938350381525
"C01950",0.445710912568374
"C02421",0.445710912568374
"C00153",0.445710912568374
"C00503",0.917436242500031
"C16884",0.917436242500031
"C11348",0.66904570120105
"C07216",0.66904570120105
"C14582",0.66904570120105
"C14386",0.66904570120105
"C05853",0.66904570120105
"C13637",0.66904570120105
"C14385",0.66904570120105
"C07213",0.66904570120105
"C06757",0.66904570120105
"C07112",0.66904570120105
"C07216",0.324165553426616
"C06757",0.324165553426616
"C14582",0.324165553426616
