Sample,CT22,CT23,CT24,CT48,CT5,CTH26,CTH28,CTH46,CTH47,CTH49
Label,Control,Control,Control,Control,Control,H1N1,H1N1,H1N1,H1N1,H1N1
89.52230998_26.1097,359298.3715,371189.861,369316.7437,138856.94,15835.364,64771793.51,49954525.77,6594.7677,13867924.8,899481.1161
89.52229676_115.246,722277.539,97952.27391,65768745.73,8941718.1,7417.5992,3482.1419,666488.7955,84298327.86,72736.589,754879.494
90.0050487_45.657,8951.6445,14848.317,2487374.344,187515.398,2292491.173,3612937.324,947461.5531,3669183.593,3369267.544,338998.163
90.00504718_26.27985,684797.318,8961.142,156554.82,266917.77,2519989.95,36551.273,315757.261,5272865.851,817938.999,5428154.26
90.00677997_116.3815,1535476.61,486975.314,588738.785,191575.34,1786533.99,9681998.429,532862.47,4857536.444,19658126.64,387216.799
90.00685595_2.20496,2588636.365,4154397.455,18296.44,2846677.233,1192314.66,394793.894,2786.279,727634.96,6697268.932,3692.478
90.00818767_260.7675,4124919.551,4761424.456,434773.97,8143829.16,64629.269,334356.469,416813.111,6694811.758,478772.227,814588.557
90.00819357_362.6655,12843.93,19792614.59,44498.861,2555984.7,13795357.9,885451.533,823276.113,15121828.21,15735491.85,176933.5
90.00811077_26.7805,189584.69,296813.928,2329864.248,772523.8,7669553.163,1739343.68,4596854.812,6526112.846,18126646.4,17873689.86
90.00795439_45.6756,1661853.899,6234762.36,14447535.28,12855164.65,8189637.926,1733383.82,352578.698,24286457.6,24546537.16,8846922.959
90.03877753_232.391,14411.85,533522.131,323797.629,51564.343,555217.425,792839.4758,1116936.311,282453.2296,18528.6689,29894.4188
90.05472192_251.2575,254393.935,5698689.219,8258711.31,754679.181,727235.537,194129.82,414914.795,915297.72,1544664.9,8686445.332
90.05472203_48.2157,1867726.21,1952496.351,122347.954,4841989.67,559531.286,239674.141,185189.657,4362827.938,163645.329,2335715.918
90.05472228_232.18,27664329.46,5967642.2,6958494.23,6621811.9,68928115.48,199342384.7,441778.39,9512.25,9987667.45,68712757.92
90.07065206_232.258,2227225.4,1837.9772,39863946.98,388187.59,3499983.99,83993.1621,2148996.67,25649.2465,3525.364,169676.7339
90.09111727_233.407,1916878.53,26638.39,11127557.18,2297443.19,11318759.51,9746878.27,8749727.49,24911684.58,11588594.56,27273332.56
90.09110791_120.4415,32466.55,34312247.15,42864752.5,3845236.98,466693.33,3267965.7,3618523.89,54647741.84,65364221.91,4265311.3
90.09110494_45.99,2272253.215,263481.28,5595831.272,5437769.48,6844527.57,7628333.28,21225.677,562456.173,914838.526,694785.611
90.0911251_201.145,2298423.52,21443731.94,861125.49,22152552.38,25641257.44,11172588.39,218993.93,21832374.9,2434661.76,27116549.38
90.50673538_118.4035,1767981.76,184347.89,15344697.44,167491.27,2143243.22,17156424.18,2522761.8,16857618.77,2476115.16,24812969.66
90.50672941_46.8221,6168529.75,441535.796,87713.552,112654.7,12343139.9,1672341.3,3777156.321,2729249.88,22688436.11,14272861.1
90.5067254_25.9195,5213.79,56779.577,542515.583,1528653.95,13351.28,595146.973,3986171.117,9167252.546,129874.3,174815.85
90.50672141_2.41418,241899.516,,295667.87,892758.566,14223126.21,358581.25,312268.491,1122453.69,1128.75,1185284.95
90.5067332_92.6385,3478675.384,3431646.9,4642851.167,845722.35,11951863,3384797.887,34255.199,119157.79,1241397.32,1588545.53
90.50674589_307.0155,82591466.67,785994.59,5686352.93,9581638.77,91111126.6,58956941.11,8871896.62,87656894.7,844763.1,96821194.23
90.52559442_130.87,377726.524,9184.9667,754366.763,22341.95,1156964.385,41688.7158,213924.153,1769182.82,1733654.5,313571.279
90.52560898_320.183,212275249,21637842.3,16811891.4,263654619,211456369.5,125593281.8,175375659,18971612.8,22352211.5,241691573.8
90.52561129_284.086,8133791.138,6577.282,76297.433,19173.4,9316447.67,193384.39,957697.873,9996.143,11664743.19,784691.973
90.9474521_561.7785,94686.832,58683.7717,851426.9883,124445.934,282199.297,2262.3328,758115.239,58977.6411,58255.697,586727.6147
90.97639813_222.054,1165226.66,12146562.29,483657.25,2337229.99,19356254.62,7134423.78,1276139.66,3584618.88,5568719.79,1672385.87
90.97642907_183.26,538145.935,18373.63,81111.35885,361114.63,1441764.66,37213.811,2288264.67,38722473.56,31217243.7,1487467.97
90.97641448_155.7625,82867.8738,22622.968,324617.341,411255.846,16929892.6,3551119.55,114811.518,19632744.42,34758859,1296275.183
91.00840453_307.066,47621.192,4517831.7,2682124.26,5843672.345,528279.634,1945199.597,5424222.568,5369223.596,56216.21,655293.51
91.02730562_321.23,11865521.26,7556711.264,97422.523,1293374.76,9893216.63,4171443.446,146875.45,113755.75,12669978.78,13117434.67
91.05397361_123.092,64924.681,4853299.292,944177.49,437824.422,342534.843,7489668.558,1427643.747,7225847.134,4161128.11,4624816.934
91.0539806_206.409,9347735.92,9514744.786,125396.89,93217.584,963936.37,8415633.114,845356.523,18542.16,1382792.24,11864758.99
91.05398246_39.1911,1653893.473,1347615.254,292624.44,518976.321,491245.598,1894179.844,1456628.44,2921933.897,3415649.53,4221893.131
91.05807179_232.358,823634.241,1646682.33,2256149.262,1467539.695,138954.58,5717312.156,98365.598,2597131.94,215663.524,1234264.473
91.50444985_117.869,5462686.635,5867789.93,457621.532,81711.22,8641752.134,5242669.445,665252.176,32675.777,6713232.236,5891154.655
91.50443765_307.5095,31194481.93,29922728.13,21529632.59,3576152.43,3465514.3,2451268.5,3271651,3367658.11,27694565.72,37379548.59
91.50444002_46.6013,26294.442,17983.74,52365.21,3618769.934,494552.542,43736.811,1667.971,4477187.526,891211.99,398848.317
91.50443648_26.1465,189226.296,188414.218,2266555.917,582875.55,7743498.4,1365611.812,15212.345,478689.928,482469.79,575994.156
91.54210327_308.507,175742.647,388119.51,1114289.42,198422.499,296288.742,141818.95,1813812.96,12371892.2,2991586.986,24432217.7
92.01620398_269.643,127264.653,219712.32,322952.42,2427387.844,389373.913,5336127.18,8845.9116,1694813.836,1592164.393,1295591.59
92.05893327_232.351,34.44941,18372.3376,137312.821,11494.124,131547.274,7713.1469,93158.67414,22536.3393,225119.24,149643.8518
92.31238931_114.426,368731.43,5131.4511,136194.5772,28548.4184,43953.1841,396475.226,538435.4922,54296.4651,496454.3454,568244.1488
92.44491307_273.373,22638.7772,434867.3463,366616.695,38929.9365,348273.6624,518862.9411,23288.666,29875.8342,189483.435,248272.962
92.50321196_307.5845,3672477.615,449713.167,241226.747,578385.599,3877932.288,199331.762,446893.849,444246.45,4266821.131,498564.936
92.52202155_320.0015,1399652.193,47121.27,1654469.39,3179894.586,267957.533,1965891.221,3991368.486,3251985.68,349659.999,391284.187
93.06963957_35.76065,56586.271,36516.6,42653.1886,2153573.267,134977.869,49126.8327,41535.479,1186339.23,87177.4529,1528852.884
93.60162122_377.3295,46171.37692,679139.644,11263359.34,46975.46121,85321.88941,684712.56,19277.71719,3627.586,885759.695,21475.2268
94.02778956_307.818,81631987.35,8175554.53,44463741.5,1372489.5,15674267.2,4459581.88,73948.84,271437199.9,291526877.1,12346641.6
94.04481518_282.554,2162689.464,2516185.282,3265294.423,3856.172,4447396.19,3276.981,229569.984,6593189.924,3655933.29,5885149.391
94.0448192_307.642,15887278.9,31717835.2,821348.1,28449355,312529886.9,1128873111,148888361.4,28398855.3,45778265.4,198614143.6
94.06487127_199.7005,71974.7754,4632.214,374113.6279,1514962.851,1853481.379,645658.957,1973535.83,1579939.124,1821333.339,261146.74
94.54515821_308.305,11391982.21,1157253.7,1522183.78,21376696.21,3614526.74,5924534.18,5465381.837,15943763.48,1729331.77,1887143.82
95.01250047_46.417,43253.9538,15116.4126,527144.596,147577.623,1215246.917,212969.648,14731.7174,1486824.973,1252258.765,436212.2119
95.04357826_308.023,23282373.29,5938841.51,11462526,44415418.63,4827824.56,24943466.6,2287368.78,4452553.18,61142449.8,362417.94
95.04887041_206.8165,385289.781,3911372.34,35283.176,291659.642,3194236.739,482955.87,3172124.348,4329249.995,5749571.467,4818411.222
95.04793595_308.5965,9786322.887,3188637.471,777542.76,28918.247,31812.32,9823884.111,1312874.85,2447577.383,187525.428,956184.334
