Sample,CT22,CT23,CT24,CT48,CT5,CTH26,CTH28,CTH46,CTH47,CTH49
Label,Control,Control,Control,Control,Control,H1N1,H1N1,H1N1,H1N1,H1N1
141.9830152_92.6,5555669.977,6233227.524,585849.777,12857391.33,1246329.32,5595334.137,5892418.932,1693566.7,14851769.14,69561.86
141.9830007_307.318,18343,9863219.68,69612962.22,112713466.9,16912293,7242825.64,11329397.5,17613766.7,16158.2,112996463.2
141.9987644_79.7964,317251.995,3181181.355,979139.5714,1448977.326,196759.372,16459.86,467643.585,1352447.414,911664.6747,16422.913
142.026024_356.546,56315185.61,4194673.73,13524982.35,3631297.919,26258675.97,89256.736,525971.24,3141692.26,496483.426,34998837.14
142.0261133_295.543,245482.32,611851.85,316885188.9,78341699.16,85619474.44,845635.6817,41723854.27,13976442.2,3613151.4,887634.46
142.0513453_307.074,1844386.659,1445817.381,3293329.521,191992.277,1413547.595,484644.19,178797.963,173966.99,1161228.98,19841.934
142.1222757_121.487,113651.64,4513278.351,593366.676,181437.56,1196647.88,7175895.442,49442.146,7916935.5,9831.979,8748882.685
142.12229_209.9455,4432444.942,3766816.776,4281787.732,567552.471,678859.338,4255111.73,476899.774,5785639.434,4264278.556,6123457.251
142.1223033_44.03605,3621227.567,315682.7,4492726.119,781599.453,163917.77,482413.59,316584.427,8377759.4,967886.41,8991185.891
142.947699_182.989,2584659.462,6718821.547,244298.4351,21715665.6,119946.15,1853964.422,5734494.179,1378235.11,224231.89,1271776.24
142.947695_161.5565,4419.4244,4587266.184,29182.88,671164.963,2797676.68,8162561.61,41372.3852,2427133.56,4532472.55,1756911.71
142.9832643_307.471,41826.9,3838388.245,2384644.789,4322622.886,425188.72,1931832.788,4518767.215,419733.526,381527.559,4596211.621
142.986422_307.606,6122242.243,4893641.977,416915.824,461723.797,445726.553,3218944.149,528645.973,542361.14,49476.342,471177.73
143.0292512_291.693,349937.577,1268346.533,623292.816,1524428.234,171421.24,2521633.175,719675.528,14329.6,2466556.716,291513.291
143.0392302_436.9285,15859.76,852752.8,1251757.12,1695627.796,8811792.156,15575.622,22899.3,369612.7,16716.857,276278.573
143.039225_476.949,681861.6331,138557.489,82218.9732,824116.4323,18855.714,1217649.84,166471.518,2161166.325,9125.4832,1488763.576
143.0392237_506.944,111473.747,939962.677,91573.6548,2671192.13,125857.695,6466.3519,952394.8576,889493.3817,1315999.49,18139.22
143.0392301_552.896,6161.1622,424498.8478,479289.5489,667153.3275,631162.4919,46636.268,395491.649,663876.431,111481.77,6911.7675
143.0392199_531.614,362578.3857,522989.76,651428.9521,62527.4251,18176.911,499718.2387,862673.6256,987441.354,75888.9995,19254.1
143.0392168_574.376,667835.957,625873.1273,78523.4132,114121.529,7489.9477,665377.5276,981418.3235,68889.3923,835944.5447,85735.834
143.0392347_404.962,433248.8737,1373238.188,1163139.726,125959.9,172114.388,95355.6715,1522727.69,82485.699,843293.9777,14746.47
143.048076_307.4385,4124882.349,3862372.863,3788366.22,67191.35,493548.946,485183.63,469868.821,517979.262,741423.495,7822981.772
143.0811447_249.073,511279.7688,85352.214,143753.121,73418.1767,49172.9366,562725.7455,353387.1198,361293.3898,468222.275,33352.8258
143.1174221_44.5845,255851.776,4416.41,42432.4749,97588.6315,745481.7479,54925.714,267875.76,155465.46,1125343.99,89286.131
143.9586297_307.7995,654853.23,6642299.13,4576265.37,7711865.51,723795.448,4631445.836,752432.11,6785523.663,6513258.469,7539593.616
143.9805221_115.179,863249.795,167354.35,15337.72,197214.119,272453.974,918511.6184,931397.958,1713844.275,167919.762,1351459.524
143.9805318_307.319,1344613.86,1294823.4,97949.8,1544644.6,141592.25,884643.763,1576544.46,1425529.88,13144366.8,1578533.23
143.9805158_47.7583,781118.9913,82354.676,13417.943,1395459.122,18835.72,132242.842,748878.9677,1991135.547,21531.92,1188896.7
143.9964412_318.249,33652.611,41428.29,292366.514,439356.372,3944448.475,2189567.91,3567415.251,4431356.247,332398.88,3817928.94
144.0302664_292.0025,53463.162,321683.898,1691322.45,35627.5345,3447.9165,184367.787,384775.9675,634783.3655,2338978.87,54954.1181
144.0651653_44.98075,28661.1153,429459.3376,1815795.43,16622.11,1217.86,18948.219,371899.151,863386.2259,143894.54,138288.398
144.0651582_220.941,84131.5634,1712321.38,492892.866,252536.61,18242.455,187248.721,18893.1681,443172.421,72113.1332,217831.837
144.0804038_201.048,69524.5839,122392.39,113919.294,191929.536,14525.342,182974.897,155825.55,2453695.831,2644221.73,2126192.191
144.1015299_285.3405,32167692.23,3779681.53,19973329.9,63256617.94,54966385.55,35731589.23,9576526.38,15712591.29,26823839.6,2453141.96
144.6047886_303.451,15389.81132,65553.8961,1981536.893,787795.5749,467426.777,1252984.834,191362.44,92683.2131,853369.6788,73885.3137
144.9817611_120.196,5854356.75,83628275.82,129935723.2,13188188.4,13569731.7,8959476.91,15196611.2,145856699.3,137193193.8,1726317.7
144.981773_201.532,2478844.6,334762.62,28514944.73,3642411.2,3487487.83,18875389.5,31816367.65,316934.45,3341992.37,32392269.49
145.0098094_77.9696,25946.465,688714.4569,916747.6711,1836238.639,179373.455,127711.891,2613622.8,1873549.582,3291471.512,2964746.354
145.0348801_429.518,331974.477,324643.27,1229497.891,4635776.281,5538238.656,2342192.942,2527574.19,2241111.477,5283696.69,9334794.76
145.0491551_111.143,1175172.88,11936185.5,882557.6251,6212976.782,918333.594,126422.242,1191128.35,55937.4389,153653.28,17752831.74
145.0491539_232.7515,584378.61,653788.3861,946675.8561,1973639.44,18571823.1,1611398.971,18915132.92,19574598.7,16594618.2,2111277.61
145.0967666_324.825,19873.7123,295238.8325,174112.41,256.6137,22479.861,223738.285,98437.71288,26461.6675,354899.4461,218219.735
145.1007986_35.288,884236.3174,6949.6263,7211.381,5915527.818,269234.7,19593.2,767.832,2114194.51,712126.497,3389689.84
145.1048685_285.491,2249564.377,1686373.938,794674.389,45386.351,3175388.96,24948.643,581722.12,791356.1876,121821.58,193675.42
145.9541012_308.058,1927192.667,23587.892,1175156.81,266339.968,234126.158,1231877.556,285885.831,2338257.214,25873.57,27123.379
145.9850982_120.366,1639335.537,2927596.3,467397.597,5432496.757,593994.756,341724.34,283148.663,5475754.881,5686997.76,471669.756
145.9801438_307.482,372128.51,27518.954,19959.695,3441658.42,3179586.32,149338.58,3136632.291,2976293.345,2816763.31,3427364.725
145.9851148_201.708,89362.9933,117962.512,92313.8586,1392914.678,132228.67,6182.5671,1176649.774,1148.34,2486564.663,154.358
146.02668_182.321,356794.1335,241584.121,71531.127,1824779.893,276179.249,37547.684,245721.721,12992291.66,9717333.362,4428232.964
146.0596478_199.913,1252134.8,1737714.582,185897.642,2327144.749,1728328.649,3259261.665,2888622.862,413441.853,41529.79,41614.15
146.0596471_38.5963,35157.3888,264668.6275,16366.143,1567772.256,14941.732,1765.74,656677.9344,1311494.93,197325.14,1531794.477
146.0682033_301.389,887688.977,834789.258,128993.8,141369.211,11416.382,23867.149,86828.3652,634776.652,78769.895,115229.495
146.0807878_44.2283,318215.747,79435.3859,2355473.248,2814721.177,1856886.371,129379.41,278778.3684,715125.1224,972421.7818,847459.1384
146.0807748_267.677,22913554.2,587543.1785,1218612.645,4639737.864,7246266.612,1835267.83,82615.18,721514.329,1432877.62,787153.663
146.0807698_320.69,1729894.976,174958.199,3534164.246,2286361.285,2426562.173,438294.538,1636231.961,253825.871,2737268.478,23699.124
146.1171373_122.91,5169961.694,5763798.585,6352539.37,848142.595,761162.962,5846998.355,6153153.192,6336353.817,6598695.96,83751.712
146.1171611_255.795,37683181,48867139.4,1163138.2,54356183.23,655875.57,1377291.6,1592993.91,229633.81,29356184.2,296972.59
146.1171719_219.104,2952393.436,337698.85,11442862.48,3198343.348,5911214.981,554648.917,2517247.89,2861482.774,377414.425,243743.23
146.1171389_233.278,6721871.25,3225872.39,11895892.43,1221146.94,2677742.3,4827943.21,4268575.678,483296.519,547119.329,6168335.835
146.1647854_352.71,72969.765,8383763.991,7636749.32,7768594.64,7653266.21,74662662.14,33767.79886,41321142.32,52476767.84,7747365.626
146.5242412_300.353,11619.84412,377.699,1959484.754,12152.63713,526.2628,281838.767,13272.48479,17497.3459,453921.3225,246794.2775
146.9609204_588.166,118326.537,1128452.797,881693.8412,1758949.971,13249.339,11349.764,161576.296,934423.7341,112423.669,167246.11
146.9799212_120.227,24588788.45,36994145.71,58166829.61,584478.26,6683.9,39797674.43,46529918.67,6527735.47,6732151.28,47896144.49
146.979934_201.672,11656236.4,14177542.7,988254.589,17833717.69,148411.61,155215.61,14359516.98,13884383.56,15269221.77,14526327.34
146.979923_49.13995,543759.796,4456116.292,9347268.89,1214362.15,13577445.92,54477.919,483366.541,119922.9,12441521.29,1283185.21
147.0300199_182.815,3623542.12,133835.6,7878436.853,1398394.551,344837.374,13412379.73,12471633,18234543.22,35144591.81,12764445.44
147.0436464_206.33,112884.6,1132728.3,119657.27,1283431.25,112166.37,11898467.87,9146926.666,1283346.94,14822592.78,1484752.47
147.0759779_257.837,28665792.9,444141.1,19621166,753331995.5,596782153.7,223955841,337668955.2,885249137.8,855292.8,63126915.7
147.0760289_298.84,8176228.23,4479526.4,15934821.22,1269885.77,1378494,2683141.59,8714995.734,19793312.23,27394592.37,17817846.3
147.1123955_316.411,899789.129,39885384.6,16958312.3,55968.15,37775577.8,46291186.5,32696582.64,163769584.1,229491525.8,87928262.92
147.1164177_35.5276,714427.735,536758.4613,52576.4934,35144.381,1983333.436,1283825.189,613852.7895,156656.816,1333211.92,279336.829
147.120488_255.306,2245661.424,3398972.233,831655.417,35876.84,496178.187,998771.224,334663.2,155113.479,25947158.2,16119.461
147.1164601_135.966,1263452.712,143889.912,71764.2876,168358.45,162289.83,1174522.71,1334288.858,595265.9669,922557.5482,1671492.645
147.1681197_352.637,17945.23358,5156.836,48636.478,346724.1317,58393.6816,393633.278,11626.3231,2472365.449,2449323.772,248855.5669
147.5938225_304.1415,1167.21758,452192.1488,818495.2465,436378.131,31553.8179,1524543.758,27789.2258,674844.8924,1461114.666,698411.847
147.9832682_120.168,567137.5176,197328.87,1618543.759,187324.115,218463.964,75629.232,833153.1921,1849736.336,285488.542,129423.366
148.0034407_171.7145,7272974.222,259515927.6,3499727.44,29369425,185971865.9,65971616.38,18183758,289917981.7,4148286.6,1575195.7
148.0150406_72.28655,284681.4,316824.684,41979.683,7476531.967,11236328.74,3827423.386,2449518.811,757974.788,7241166.35,7712772.937
148.0469283_205.888,92943.4916,867967.7748,1172369.372,669952.9872,646585.2487,7674954.597,2347156.55,4223419.927,3484259.383,83784.8975
148.0422608_177.875,87683.54,239548.918,4889433.66,9998968.493,4344323.498,257149.71,987872.386,13141372.97,9955644.941,7141767.43
148.0600048_220.039,8535534.3,15125465.1,35551451,2282412.5,198432389.3,2455299.2,826931.5,242597545.6,255139283.5,172848128.1
148.060002_259.262,11653396.6,83722.243,111375.12,15836641.36,21466265.81,75465599.64,1845133.65,4773639.575,337779.54,22253225.2
148.072991_258.131,4683544.226,2361685.972,697525.633,4569566.38,37612.934,962951.553,254112.353,6837816.437,6913895.638,4925388.43
148.0793289_258.083,9687474.48,19575689.4,39737121.75,27594584.17,2649961.58,79171144.81,18546266.71,48427282.82,462265.4,34261436.72
148.0963482_227.755,15766384.52,178939.85,291736172.4,5982884.664,17441867.38,92141433.15,11616152.64,16217658.19,181322.18,12372926.82
148.1094094_316.725,76263661.66,159652721.9,593575277.1,148119185.3,15332276.2,44232837.7,7828714.65,39842518.3,613144593.3,237792.4
148.1156298_317.312,6246128.82,244791.396,492645.171,313126.948,22878.15,18575141.64,233111.84,669715.381,11512163.59,4613174.84
148.5078778_292.595,393945.2678,1272316.331,29131.835,1831349.841,1858857.932,257682.347,16821.9,32983.758,644937.13,197854.569
148.9766171_587.704,281458.763,1877994.177,233512.684,21383.16,25332.3,28996.447,261911.22,2378662.59,2192389.245,1782396.49
149.0029972_171.82,843993.422,9262.171,1693845.784,395632.52,1964487.263,84524.46,665724.2814,1374329.937,6773425.5,686113.2357
149.0229736_128.621,1891931.3,1815483.67,17377855.37,1286168.93,1692947.94,38284342.91,128425.16,1525156.92,17768271.55,1662376.33
149.0229535_35.14835,367575.517,5122723.441,2878933.422,6849175.564,9617978.783,44598.842,2987763.634,6935231.51,888275.9,784343.984
149.0263351_285.306,5188553.89,397351.64,1361538.413,555883.984,177733.31,73221.1988,35234.543,294172.641,495789.4664,628591.475
149.0456595_178.076,12285741.53,232297.93,4786972.93,541291.2,542482.135,12577741.77,55615.526,1649725.68,16222.75,9663954.374
149.045681_200.091,2721733.234,2119376.242,2957524.494,548444.748,4446828.632,1223684.53,3526547.95,7926619.154,1122466.9,7344951.628
149.0632677_220.183,441563.386,4149176.772,1143342.315,9943472.121,852879.946,8336917.657,2633925.167,3349979.978,293485.118,5253379.596
149.0593381_203.724,932468.949,1476417.953,9759.686,1841281.41,1115149.323,2166344.973,181982.66,2162437.961,274728.397,291424.413
149.0802995_258.08,1547668.453,1272595.652,4253.585,23958.141,2169135.489,5553293.749,1874284.587,5333562.15,492681.732,36184.166
149.0957509_136.047,1652675.18,1353163.445,1949587.19,161484.48,1857474.556,52142.364,136823.218,167888.223,1845346.837,1737282.144
149.1127047_316.776,4822337.127,3691542.166,9454.18,3295886.264,9689216.644,821656.752,495845.629,4422439.388,1451279.19,64576.134
149.128098_290.418,4836126.982,373254.545,4171543.223,23785371.11,1614471.75,3682296.687,1575634.21,11815784.46,634173.82,211467.43
149.1281007_120.477,4412816.631,411865.349,3423837.932,6681219.869,632821.453,391869.396,3863672.619,7178763.295,878221.638,6688556.71
149.1321189_35.69035,6989.5414,53932.433,49151.4921,235861.913,21853.665,576293.3528,4914.8746,15171.891,1425377.642,2196936.536
149.128084_318.4495,87435.837,748655.15,18117336.4,14117391.29,123733.18,591691.493,587816.683,1227275.67,1533914.46,142751.84
149.1321335_135.783,1771336.457,1288652.137,1189387.786,1477821.461,1426.164,1918752.743,17766.419,643555.1112,173736,264779.437
149.9556512_571.934,3539443.189,3291437.456,4747275.997,157422.189,252119.537,198521.838,493352.239,14295.475,1994484.935,215864.187
149.9924074_231.745,264298.173,561917.441,59454.84611,853897.8,57971.51,112947.12,428393.3238,759527.3227,753424.9521,554451.4741
149.9992956_172.0115,455888.5599,9838182.776,196396.84,13154.36,664439.48,2743586.843,5782449.364,7956685.217,18543777.74,69169.841
150.0077698_171.688,572333.396,964859.477,1222985.669,1694115.671,111878.27,2798688.559,616149.7412,196923.595,24682.547,156354.656
150.0195018_112.668,259328.144,3315882.292,3571573.75,6293321.967,757776.757,669478.93,2641245.377,61725.956,61983.594,3649.78
150.0381888_178.405,269512.5191,153728.413,83519.4637,164538.571,122119.287,493118.5799,23999.3794,41244.3657,256945.925,19326.895
150.0642203_218.405,451857.3149,14825133.29,4711522.54,961899.3938,1476824.52,24592854.73,3979836.89,17967.842,259363.526,81596.3869
150.1137398_316.719,117396.9995,476174.4575,799757.554,337375.7494,45246.5391,722313.7562,87614.56841,718731.8717,1469315.529,697841.8177
150.9352631_100.488,498112.125,47444.7192,34241.8517,37113.7915,571316.3224,42767.829,46912.9968,67836.2911,376349.675,41137.1347
151.0160261_172.9485,3421331.176,99641.1615,36411.6442,245262.217,1411881.45,949919.4952,1418121.78,1293412.385,248267.221,1433647.5
151.0348582_308.011,3698354.48,8515252.9,2261668.6,7673427.11,826594.78,354671841,426929.7,7648927.1,124444164.3,524211.94
151.0612647_213.294,725476.249,1963589.144,982687.495,3646384.33,215595.91,96846.9384,1811267.562,33484.94,1746994.746,1784877.459
151.0692642_110.824,4116519.597,352478.58,553921.76,2254782.451,5233353.166,682788.329,1811269.65,5992352.78,1818694.46,415589.243
151.0749512_47.5925,599334.2291,679162.179,19765.411,212969.631,247915.596,182751.92,72832.25,19552.767,276921.792,2416538.296
151.074958_115.692,283.645,311252.179,314913.657,2155999.2,2128197.351,6521595.741,25599.515,232368.683,25435.395,2915387.347
151.074963_131.314,25687.769,3187334.548,1166161.31,1988453.732,377393.936,167939.385,294913.175,2238642.379,1558948.685,3288667.735
151.1113817_134.265,277887.516,289693.26,625928.545,3379734.481,338743.55,997958.95,362398.99,218148.821,23277.35,378351.291
151.111351_115.606,289786.383,21871.32,369941.32,343549.313,468253.823,5716993.875,1561216.812,281681.57,1649513.85,2877162.748
151.1113453_46.91395,94963.6819,756962.2972,1284121.166,249374.197,2882382.887,159565.272,85464.1672,286785.78,4362158.22,314791.335
151.143684_227.71,411881.686,2318736.4,5233915.94,1483197.7,912852.83,1594453.384,72626.2948,52645.965,464948.6123,44664.436
151.1477493_35.7989,446935.534,514592.5925,59297.6158,881848.8369,1442684.794,41743.863,637588.4799,589534.749,711699.538,738332.7366
151.9506688_240.816,183386.472,1991941.713,42924.52,3348366.527,3255341.475,3477457.79,744127.2894,1379226.422,178486.43,1897737.789
152.0136513_172.757,4548713.25,118879.25,4933891.132,3958855.43,396625.24,19951341.11,196954.8,272786.12,35852442.81,428213.95
152.0355432_306.114,45467.99,142517.33,278496.92,914351.58,9915569.336,9613548.98,473652.424,953397.58,154656.65,637591.19
152.038186_308.746,1595484.6,412763.99,544577.23,3585852.624,3937389.157,16476616.97,242462.346,2592681.223,4279629.366,2267944.487
152.0537039_213.018,563463.8875,162668.965,176428.396,334142.69,1713461.397,94487.7494,127358.69,2226649.642,1987687.672,3736729.342
152.0563047_148.628,6233977.536,1286945.13,3914172.286,18438633.88,9679568.9,98865.143,9282462.334,8167153.846,836432.183,12822673.39
152.0702139_43.5807,76562.81938,322718.1368,226956.117,121477.475,247493.718,1532655.562,533588.5294,3629846.81,5545214.299,366688.17
152.0801026_258.1085,28723.167,177154.252,2631428.333,724697.9872,139557.69,2851588.612,1312451.84,2769826.46,5313799.757,1724348.189
152.1065924_257.827,2951422.368,192945.254,292955.145,3485819.12,3414125.236,2463597.5,164991.622,2541656.264,3887675.737,411793.449
152.1066034_227.965,192872.276,1789593.746,627433.6493,236513.99,219114.53,132676.617,1543744.533,156749.743,271662.859,235799.78
152.1429706_204.445,486942.318,4929826.533,491471.641,71811.616,7178976.178,5386526.964,586888.466,6282971.32,6739546.73,71963.92
152.1429567_122.721,7589131.416,838327.83,872716.736,118164.97,1218544.2,8676614.814,837898.231,1221417.52,12964661.31,1259817.3
152.5153098_173.196,2198945.342,17577.231,93361.2268,213863.31,2715241.16,146421.761,1566628.289,614648.493,2476145.754,1744477.546
152.5309895_111.9925,175834.311,129397.474,1729.431,184766.839,186832.563,1458835.477,51476.4914,1926951.314,182384.214,1362419.687
152.539887_347.9205,713135.7455,1583349.712,5476234.68,469568.643,3684776.532,4869495.624,28767.492,278139.8,561256.475,2589456.621
152.9944818_116.454,2745863.65,2438539.6,1832281.54,234933.27,2842246.31,1257761.4,19766949.23,1412485.68,34433554.61,2225723.26
152.9944833_26.44305,4845728.313,57168.113,5311239.665,1335478.53,9287195.419,3426347.336,372372.27,9718548.668,9974775.665,94637.495
152.9944971_365.183,146945273.7,85365726.48,3858384.5,17145588.2,98567.99,26767376.56,118257689.3,58443441.63,17637599.5,9213749.27
152.9944865_45.94915,863136.226,8581848.66,1371995.74,2312316.93,29424.62,1767893.93,834659.829,24437277.64,2622566.77,17736496.72
153.010545_116.262,346247.781,282264.274,887442.371,336468.183,4423874.361,169316.52,1861598.37,294843.769,4274778.61,24817.926
153.0105418_46.072,3549239.862,1223264.794,4364886.639,1556249.3,48497.458,2932678.34,974292.631,461438.183,5224695.372,472235.687
153.010552_26.24535,2882246.699,31737.456,1655947.26,2478796.534,4387267.851,456537.158,3631347.162,37829.886,4272213.16,4243132.765
153.0116942_171.934,2154189.445,882549.2321,49271.5688,1682619.73,1123492.743,2493147.43,684549.479,838279.745,725526.2277,159887.171
153.0295203_112.194,32919543.11,2655956.86,2554198.15,285426.85,3718583.59,34678973.41,17637459.34,3659754.95,52429761.46,31563376.17
153.0323777_307.7765,515446.95,117723.95,26832676.5,1737622.16,1129958.3,35761497.5,5963442.42,1914995.19,171398.61,723548.6
153.040262_77.8389,9211837.21,13279851.8,34263281.3,42795351.8,3485465.9,388166732.6,98668285.83,421573271.3,69835241.2,79158767.5
153.0402863_93.675,58772.356,927227.363,12912772.11,27962581.4,23457287.25,19544416.29,6891823.823,25216184.62,3717847.8,49653791.21
153.0596305_148.331,163112.4354,574982.8234,1312247.132,815366.9435,32569.5657,43985.3453,314251.6719,28732.5436,387324.7839,47556.5739
153.0768025_219.9975,12115587.24,1188898.65,19431915.77,6143234.792,8719584.992,13752854.56,414432.961,1344149.31,2433878.85,692559.335
153.0654626_139.0175,4537742.258,4154379.421,5818827.319,44682.869,518683.721,1839418.22,6845759.328,445385.16,2765728.359,6898678.34
153.0834854_258.0675,39913354.65,52182585.9,881961.57,2851689.11,439519.87,81797658.59,29322112.44,64519328.15,122962.8,51143672.76
153.0905741_131.314,596244.358,3432462.435,133496.719,5947962.184,8275478.65,4147487.453,9276725.596,427466.92,3474264.467,6133421.89
153.0905862_115.917,437437.169,3554418.13,267784.726,3725654.552,46794.816,2878898.39,43592.364,3739132.281,491242.776,4113411.726
153.0897852_258.08,117336.76,1157281.8,1935832.19,8253334.652,175655.8,275556.43,938559.87,1657836.4,317553.65,13131991.25
153.1269816_36.82295,528464.374,38921.7697,67686.4475,941679.588,16921.452,9636.7271,33663.1696,9832.5638,994133.4787,1536939.732
153.9487798_240.7325,85285.2925,2223.4454,62958.1231,374356.3979,431962.134,421775.51,36957.5647,123159.689,213441.7946,217581.4667
153.9929735_305.2905,2715361.34,55647.538,4356851.637,2624488.19,2524835.27,8175176.484,1354727.62,3345296.94,2213623.68,2577146.79
153.992905_115.8855,754457.879,946456.659,661357.217,825216.715,9261812.426,51767.29,824941.24,791319.328,145559.4,99491.983
153.9929068_45.49095,385478.274,4467521.991,69565.957,7884243.575,7239362.94,8577286.495,4251388.22,11675898.25,15322516.5,8335971.111
153.9929155_26.9693,154363.272,1943447.5,151977.427,4182357.596,3669528.544,121553.734,1794535.548,381597.47,35934.816,3157839.829
153.9929956_362.069,653997.881,4443883.454,848595.984,171598.5,678476.132,9981164.419,9816496.3,14338648.79,1668533.13,9966119.198
154.0057663_101.343,647758.1174,687611.6772,98779.8954,161448.159,1489291.62,636721.9771,64919.8445,787228.7279,122872.215,893291.7579
154.0164434_134.1805,125841.938,62144.9576,441451.638,93797.6553,3838744.29,1748989.75,11983.845,63659.1111,56289.991,363679.5833
154.0045497_317.6815,227423.536,2886357.297,182615.741,426137.412,4548753.48,1528113.659,1775194.248,332641.869,362955.76,4941878.325
154.0243018_77.5607,36311.87,57391.4844,394516.112,1188746.115,87796.447,734392.4633,35911.334,123648.221,1998168.827,2627677.38
154.0372726_77.5607,976769.8322,217367.641,34154.948,57793.612,4797972.151,24177.55,2588487.217,574351.78,98324.25,181553.57
154.0494634_139.189,2267.2259,377491.6776,574618.4156,68182.8313,598662.7761,2234254.73,841395.78,424412.3725,71721.8346,758316.9527
154.0436022_77.8729,4914916.428,7175519.647,1635225.28,22862763.24,19117236.63,17536215.54,62273.467,2293517.18,3839477.8,41752788.46
154.0582499_227.056,1632186.286,6378515.151,63374.4394,331263.327,768918.478,1655927.281,1218566.192,4188258.758,1598749.31,2624326.155
154.08678_257.903,986251432.6,173194512,18595315,873192221.3,181317529,27677141,66659636.3,1316935553,24449477,15642232
154.0868537_297.946,2984268.38,3738627.14,27651433.64,962187.168,119449.44,4777753.3,19657539.89,1577417.95,563131.71,334371.12
154.1334699_338.0705,254697.1427,835158.812,84971.9674,7474.5273,97636.9985,1242259.27,399987.22,528986.851,822655.8996,278416.1316
155.0099527_175.355,66311133.76,258531.5244,1785641.55,32133.9149,49378.6791,865.2548,89879654.4,6987443.13,66795372.4,88897418.52
155.0445175_77.6351,191793.14,999787.717,71143.6761,154763.84,2198587.96,1274367.745,18425147.45,112311.365,192486.257,23161.117
155.0683878_213.699,278491.216,3438297.184,372899.8982,2286496.996,248187.573,166824.529,163798.88,424234.83,4685526.824,1788393.521
155.0698252_132.374,26646.88,3161438.75,299714.651,2991628.933,2948491.73,242364.88,456632.32,1755484.387,1479983.344,339965.384
155.0929145_258.083,94617.26,72351.5838,1358451.328,41318.5441,1466369.32,721372.3579,633347.8248,1188232.53,3185464.82,1289541.32
155.1061976_115.64,2414526.581,22649.139,2277478.769,3129669.291,341854.224,22472.44,1527712.342,2125194.454,228433.497,2826515.6
155.1061866_45.5354,1544249.23,1366772.464,1856453.839,4119793.95,36867.815,2471354.588,1345392.629,338477.522,4872544.345,335246.834
155.1062164_131.8825,142685.13,4334722.624,287273.191,4499563.435,39355.62,2431463.96,413222.97,331623.81,2636599.163,5174822.874
155.1538225_34.80985,633249.817,384286.9993,66444.5831,219176.91,322726.248,531485.4429,472181.362,2529.96,253926.176,243684.579
155.1538312_127.206,532443.217,2858555.611,77432.5394,19782.541,1667431.232,122794.127,119634.498,164243.861,16925.65,137693.64
155.9737854_112.152,1346329.93,1612287.259,1952469.922,3543629.712,4543551.61,3913.538,13651.444,3187558.158,3127183.182,1877226.99
155.9869103_114.815,284562.72,262828.912,395328.781,1919471.14,2537929.467,1635586.454,111139.171,51624.997,6165491.111,683778.932
155.9850394_101.277,155285.62,1767887.736,1291164.118,3113.314,297174.676,18295.56,1431421.348,213156.627,297185.918,2719911.235
155.9869332_46.3127,3164952.263,14117.471,7911499.246,812989.4439,312288.13,3568755.92,45881.7897,441847.335,6587512.934,2414962.115
155.9902871_26.31485,1321172.736,18449.489,89221.7385,13732.824,33342.52,1869.44,2373676.982,4227869.79,4479484.71,4789843.521
155.9903284_364.945,56919979.97,22613.23,58719.246,36279944.6,2795343.74,1221481.6,176112.2,5499393.64,4929247.66,28199375.83
155.9903781_261.056,9285884.575,946322.55,7786679.12,6422.389,8555181.682,6925751.748,7373543.516,1247265.12,899247.998,6733873.15
155.9903397_278.887,114714.9,9861296.68,528375.739,8142515.756,1141113.5,7993781.88,5844216.353,7447133.127,1242195.46,614939.313
155.9930815_116.411,1252655.15,2418174.9,8598786.249,1352688.34,1214751.87,9893462.398,1177386.2,1344556.6,14485191.67,878955.323
155.9930905_45.7717,419635.527,671495.24,1189998.8,14676354.33,15321623.61,8663898.33,4794864.22,16641757.68,125923.29,11172258.89
156.0076566_291.983,1293124.61,2518645.81,317711.566,5949548.19,477213.384,1638436.916,775889.1321,1695173.2,1712167.342,2113212.291
156.0416659_283.327,83181.889,238237.29,1697923.426,8245757.82,4652694.919,69699.184,1477938.82,415673.243,362536.449,594999.152
156.0416599_240.58,136365.242,285158.18,1123217.984,6965133.788,3864228.972,1191756.82,346833.795,3889816.872,2429886.241,6765618.528
156.0716625_213.358,11939216.9,98611214.35,12581566.3,11782639.9,12542687,4453796.7,8479555.88,1327515.6,197241846.2,134843765.6
156.076355_311.2135,15583243.21,453194.44,156544269.9,6181519.33,5196233.17,31935163.6,52168775.98,16754966.6,2978275.2,12384438.8
156.0910726_258.084,57391.191,5461333.11,7342527.136,2457924.968,6625633.74,7896851.141,367963.989,8182398.64,15478883.48,5421164.226
156.099113_220.0845,3112276.799,1235673.7,335837.135,1887294.965,1866853.159,3925559.469,865572.9652,2727449.673,293976.33,1596856.12
156.101536_44.4682,215713.8239,241676.259,553467.6866,58822.3542,753887.2344,72134.4786,24254.7165,7571.6999,853582.226,69373.54
156.1378837_207.0415,4651878.948,385276.149,3945476.542,448444.53,459472.813,489172.449,416841.559,44956.265,4492275.821,452447.665
156.1378725_124.227,682678.391,752969.481,725481.315,8225829.643,763688.348,6569275.7,6843753.945,9676755.949,9515277.468,762732.62
156.1379113_43.84485,192115.473,24187.179,367455.5785,586199.4993,637448.766,45659.244,233428.1447,626667.1426,452787.4625,49767.2396
